"country","date","type","total_cases"
"Nigeria",2020-01-22,"confirmed",0
"Nigeria",2020-01-23,"confirmed",0
"Nigeria",2020-01-24,"confirmed",0
"Nigeria",2020-01-25,"confirmed",0
"Nigeria",2020-01-26,"confirmed",0
"Nigeria",2020-01-27,"confirmed",0
"Nigeria",2020-01-28,"confirmed",0
"Nigeria",2020-01-29,"confirmed",0
"Nigeria",2020-01-30,"confirmed",0
"Nigeria",2020-01-31,"confirmed",0
"Nigeria",2020-02-01,"confirmed",0
"Nigeria",2020-02-02,"confirmed",0
"Nigeria",2020-02-03,"confirmed",0
"Nigeria",2020-02-04,"confirmed",0
"Nigeria",2020-02-05,"confirmed",0
"Nigeria",2020-02-06,"confirmed",0
"Nigeria",2020-02-07,"confirmed",0
"Nigeria",2020-02-08,"confirmed",0
"Nigeria",2020-02-09,"confirmed",0
"Nigeria",2020-02-10,"confirmed",0
"Nigeria",2020-02-11,"confirmed",0
"Nigeria",2020-02-12,"confirmed",0
"Nigeria",2020-02-13,"confirmed",0
"Nigeria",2020-02-14,"confirmed",0
"Nigeria",2020-02-15,"confirmed",0
"Nigeria",2020-02-16,"confirmed",0
"Nigeria",2020-02-17,"confirmed",0
"Nigeria",2020-02-18,"confirmed",0
"Nigeria",2020-02-19,"confirmed",0
"Nigeria",2020-02-20,"confirmed",0
"Nigeria",2020-02-21,"confirmed",0
"Nigeria",2020-02-22,"confirmed",0
"Nigeria",2020-02-23,"confirmed",0
"Nigeria",2020-02-24,"confirmed",0
"Nigeria",2020-02-25,"confirmed",0
"Nigeria",2020-02-26,"confirmed",0
"Nigeria",2020-02-27,"confirmed",0
"Nigeria",2020-02-28,"confirmed",1
"Nigeria",2020-02-29,"confirmed",1
"Nigeria",2020-03-01,"confirmed",1
"Nigeria",2020-03-02,"confirmed",1
"Nigeria",2020-03-03,"confirmed",1
"Nigeria",2020-03-04,"confirmed",1
"Nigeria",2020-03-05,"confirmed",1
"Nigeria",2020-03-06,"confirmed",1
"Nigeria",2020-03-07,"confirmed",1
"Nigeria",2020-03-08,"confirmed",1
"Nigeria",2020-03-09,"confirmed",2
"Nigeria",2020-03-10,"confirmed",2
"Nigeria",2020-03-11,"confirmed",2
"Nigeria",2020-03-12,"confirmed",2
"Nigeria",2020-03-13,"confirmed",2
"Nigeria",2020-03-14,"confirmed",2
"Nigeria",2020-03-15,"confirmed",2
"Nigeria",2020-03-16,"confirmed",2
"Nigeria",2020-03-17,"confirmed",3
"Nigeria",2020-03-18,"confirmed",8
"Nigeria",2020-03-19,"confirmed",8
"Nigeria",2020-03-20,"confirmed",12
"Nigeria",2020-03-21,"confirmed",22
"Nigeria",2020-03-22,"confirmed",30
"Nigeria",2020-03-23,"confirmed",40
"Nigeria",2020-03-24,"confirmed",44
"Nigeria",2020-03-25,"confirmed",51
"Nigeria",2020-03-26,"confirmed",65
"Nigeria",2020-03-27,"confirmed",70
"Nigeria",2020-03-28,"confirmed",89
"Nigeria",2020-03-29,"confirmed",111
"Nigeria",2020-03-30,"confirmed",131
"Nigeria",2020-03-31,"confirmed",135
"Nigeria",2020-04-01,"confirmed",174
"Nigeria",2020-04-02,"confirmed",184
"Nigeria",2020-04-03,"confirmed",210
"Nigeria",2020-04-04,"confirmed",214
"Nigeria",2020-04-05,"confirmed",232
"Nigeria",2020-04-06,"confirmed",238
"Nigeria",2020-04-07,"confirmed",254
"Nigeria",2020-04-08,"confirmed",276
"Nigeria",2020-04-09,"confirmed",288
"Nigeria",2020-04-10,"confirmed",305
"Nigeria",2020-04-11,"confirmed",318
"Nigeria",2020-04-12,"confirmed",323
"Nigeria",2020-04-13,"confirmed",343
"Nigeria",2020-04-14,"confirmed",373
"Nigeria",2020-04-15,"confirmed",407
"Nigeria",2020-04-16,"confirmed",442
"Nigeria",2020-04-17,"confirmed",493
"Nigeria",2020-04-18,"confirmed",542
"Nigeria",2020-04-19,"confirmed",627
"Nigeria",2020-04-20,"confirmed",665
"Nigeria",2020-04-21,"confirmed",665
"Nigeria",2020-04-22,"confirmed",873
"Nigeria",2020-04-23,"confirmed",981
"Nigeria",2020-04-24,"confirmed",1095
"Nigeria",2020-04-25,"confirmed",1182
"Nigeria",2020-04-26,"confirmed",1273
"Nigeria",2020-04-27,"confirmed",1337
"Nigeria",2020-04-28,"confirmed",1532
"Nigeria",2020-04-29,"confirmed",1728
"Nigeria",2020-04-30,"confirmed",1932
"Nigeria",2020-05-01,"confirmed",2170
"Nigeria",2020-05-02,"confirmed",2388
"Nigeria",2020-05-03,"confirmed",2558
"Nigeria",2020-05-04,"confirmed",2802
"Nigeria",2020-05-05,"confirmed",2950
"Nigeria",2020-05-06,"confirmed",3145
"Nigeria",2020-05-07,"confirmed",3526
"Nigeria",2020-05-08,"confirmed",3912
"Nigeria",2020-05-09,"confirmed",4151
"Nigeria",2020-05-10,"confirmed",4399
"Nigeria",2020-05-11,"confirmed",4641
"Nigeria",2020-05-12,"confirmed",4787
"Nigeria",2020-05-13,"confirmed",4971
"Nigeria",2020-05-14,"confirmed",5162
"Nigeria",2020-05-15,"confirmed",5450
"Nigeria",2020-05-16,"confirmed",5621
"Nigeria",2020-05-17,"confirmed",5959
"Nigeria",2020-05-18,"confirmed",6175
"Nigeria",2020-05-19,"confirmed",6401
"Nigeria",2020-05-20,"confirmed",6677
"Nigeria",2020-05-21,"confirmed",7016
"Nigeria",2020-05-22,"confirmed",7261
"Nigeria",2020-05-23,"confirmed",7526
"Nigeria",2020-05-24,"confirmed",7839
"Nigeria",2020-05-25,"confirmed",8068
"Nigeria",2020-05-26,"confirmed",8344
"Nigeria",2020-05-27,"confirmed",8733
"Nigeria",2020-05-28,"confirmed",8915
"Nigeria",2020-05-29,"confirmed",9302
"Nigeria",2020-05-30,"confirmed",9855
"Nigeria",2020-05-31,"confirmed",10162
"Nigeria",2020-06-01,"confirmed",10578
"Nigeria",2020-06-02,"confirmed",10819
"Nigeria",2020-06-03,"confirmed",11166
"Nigeria",2020-06-04,"confirmed",11516
"Nigeria",2020-06-05,"confirmed",11844
"Nigeria",2020-06-06,"confirmed",12233
"Nigeria",2020-06-07,"confirmed",12486
"Nigeria",2020-06-08,"confirmed",12801
"Nigeria",2020-06-09,"confirmed",13464
"Nigeria",2020-06-10,"confirmed",13873
"Nigeria",2020-06-11,"confirmed",14554
"Nigeria",2020-06-12,"confirmed",15181
"Nigeria",2020-06-13,"confirmed",15682
"Nigeria",2020-06-14,"confirmed",16085
"Nigeria",2020-06-15,"confirmed",16658
"Nigeria",2020-06-16,"confirmed",17148
"Nigeria",2020-06-17,"confirmed",17735
"Nigeria",2020-06-18,"confirmed",18480
"Nigeria",2020-06-19,"confirmed",19147
"Nigeria",2020-06-20,"confirmed",19808
"Nigeria",2020-06-21,"confirmed",20244
"Nigeria",2020-06-22,"confirmed",20919
"Nigeria",2020-06-23,"confirmed",21371
"Nigeria",2020-06-24,"confirmed",22020
"Nigeria",2020-06-25,"confirmed",22614
"Nigeria",2020-06-26,"confirmed",23298
"Nigeria",2020-06-27,"confirmed",24077
"Nigeria",2020-06-28,"confirmed",24567
"Nigeria",2020-06-29,"confirmed",25133
"Nigeria",2020-06-30,"confirmed",25694
"Nigeria",2020-07-01,"confirmed",26484
"Nigeria",2020-07-02,"confirmed",27110
"Nigeria",2020-07-03,"confirmed",27564
"Nigeria",2020-07-04,"confirmed",28167
"Nigeria",2020-07-05,"confirmed",28711
"Nigeria",2020-07-06,"confirmed",29286
"Nigeria",2020-07-07,"confirmed",29789
"Nigeria",2020-07-08,"confirmed",30249
"Nigeria",2020-07-09,"confirmed",30748
"Nigeria",2020-07-10,"confirmed",31323
"Nigeria",2020-07-11,"confirmed",31987
"Nigeria",2020-07-12,"confirmed",32558
"Nigeria",2020-07-13,"confirmed",33153
"Nigeria",2020-07-14,"confirmed",33616
"Nigeria",2020-07-15,"confirmed",34259
"Nigeria",2020-07-16,"confirmed",34854
"Nigeria",2020-07-17,"confirmed",35454
"Nigeria",2020-07-18,"confirmed",36107
"Nigeria",2020-07-19,"confirmed",36663
"Nigeria",2020-07-20,"confirmed",37225
