"country","date","cases","type","total_cases","infection_rate"
"Angola",2020-01-22,0,"confirmed",0,0
"Angola",2020-01-23,0,"confirmed",0,0
"Angola",2020-01-24,0,"confirmed",0,0
"Angola",2020-01-25,0,"confirmed",0,0
"Angola",2020-01-26,0,"confirmed",0,0
"Angola",2020-01-27,0,"confirmed",0,0
"Angola",2020-01-28,0,"confirmed",0,0
"Angola",2020-01-29,0,"confirmed",0,0
"Angola",2020-01-30,0,"confirmed",0,0
"Angola",2020-01-31,0,"confirmed",0,0
"Angola",2020-02-01,0,"confirmed",0,0
"Angola",2020-02-02,0,"confirmed",0,0
"Angola",2020-02-03,0,"confirmed",0,0
"Angola",2020-02-04,0,"confirmed",0,0
"Angola",2020-02-05,0,"confirmed",0,0
"Angola",2020-02-06,0,"confirmed",0,0
"Angola",2020-02-07,0,"confirmed",0,0
"Angola",2020-02-08,0,"confirmed",0,0
"Angola",2020-02-09,0,"confirmed",0,0
"Angola",2020-02-10,0,"confirmed",0,0
"Angola",2020-02-11,0,"confirmed",0,0
"Angola",2020-02-12,0,"confirmed",0,0
"Angola",2020-02-13,0,"confirmed",0,0
"Angola",2020-02-14,0,"confirmed",0,0
"Angola",2020-02-15,0,"confirmed",0,0
"Angola",2020-02-16,0,"confirmed",0,0
"Angola",2020-02-17,0,"confirmed",0,0
"Angola",2020-02-18,0,"confirmed",0,0
"Angola",2020-02-19,0,"confirmed",0,0
"Angola",2020-02-20,0,"confirmed",0,0
"Angola",2020-02-21,0,"confirmed",0,0
"Angola",2020-02-22,0,"confirmed",0,0
"Angola",2020-02-23,0,"confirmed",0,0
"Angola",2020-02-24,0,"confirmed",0,0
"Angola",2020-02-25,0,"confirmed",0,0
"Angola",2020-02-26,0,"confirmed",0,0
"Angola",2020-02-27,0,"confirmed",0,0
"Angola",2020-02-28,0,"confirmed",0,0
"Angola",2020-02-29,0,"confirmed",0,0
"Angola",2020-03-01,0,"confirmed",0,0
"Angola",2020-03-02,0,"confirmed",0,0
"Angola",2020-03-03,0,"confirmed",0,0
"Angola",2020-03-04,0,"confirmed",0,0
"Angola",2020-03-05,0,"confirmed",0,0
"Angola",2020-03-06,0,"confirmed",0,0
"Angola",2020-03-07,0,"confirmed",0,0
"Angola",2020-03-08,0,"confirmed",0,0
"Angola",2020-03-09,0,"confirmed",0,0
"Angola",2020-03-10,0,"confirmed",0,0
"Angola",2020-03-11,0,"confirmed",0,0
"Angola",2020-03-12,0,"confirmed",0,0
"Angola",2020-03-13,0,"confirmed",0,0
"Angola",2020-03-14,0,"confirmed",0,0
"Angola",2020-03-15,0,"confirmed",0,0
"Angola",2020-03-16,0,"confirmed",0,0
"Angola",2020-03-17,0,"confirmed",0,0
"Angola",2020-03-18,0,"confirmed",0,0
"Angola",2020-03-19,0,"confirmed",0,0
"Angola",2020-03-20,1,"confirmed",1,0.0324572452068925
"Angola",2020-03-21,1,"confirmed",2,0.0649144904137851
"Angola",2020-03-22,0,"confirmed",2,0.0649144904137851
"Angola",2020-03-23,1,"confirmed",3,0.0973717356206776
"Angola",2020-03-24,0,"confirmed",3,0.0973717356206776
"Angola",2020-03-25,0,"confirmed",3,0.0973717356206776
"Angola",2020-03-26,1,"confirmed",4,0.12982898082757
"Angola",2020-03-27,0,"confirmed",4,0.12982898082757
"Angola",2020-03-28,1,"confirmed",5,0.162286226034463
"Angola",2020-03-29,2,"confirmed",7,0.227200716448248
"Angola",2020-03-30,0,"confirmed",7,0.227200716448248
"Angola",2020-03-31,0,"confirmed",7,0.227200716448248
"Angola",2020-04-01,1,"confirmed",8,0.25965796165514
