"country","date","cases","type","total_cases","infection_rate"
"Benin",2020-01-22,0,"confirmed",0,0
"Benin",2020-01-23,0,"confirmed",0,0
"Benin",2020-01-24,0,"confirmed",0,0
"Benin",2020-01-25,0,"confirmed",0,0
"Benin",2020-01-26,0,"confirmed",0,0
"Benin",2020-01-27,0,"confirmed",0,0
"Benin",2020-01-28,0,"confirmed",0,0
"Benin",2020-01-29,0,"confirmed",0,0
"Benin",2020-01-30,0,"confirmed",0,0
"Benin",2020-01-31,0,"confirmed",0,0
"Benin",2020-02-01,0,"confirmed",0,0
"Benin",2020-02-02,0,"confirmed",0,0
"Benin",2020-02-03,0,"confirmed",0,0
"Benin",2020-02-04,0,"confirmed",0,0
"Benin",2020-02-05,0,"confirmed",0,0
"Benin",2020-02-06,0,"confirmed",0,0
"Benin",2020-02-07,0,"confirmed",0,0
"Benin",2020-02-08,0,"confirmed",0,0
"Benin",2020-02-09,0,"confirmed",0,0
"Benin",2020-02-10,0,"confirmed",0,0
"Benin",2020-02-11,0,"confirmed",0,0
"Benin",2020-02-12,0,"confirmed",0,0
"Benin",2020-02-13,0,"confirmed",0,0
"Benin",2020-02-14,0,"confirmed",0,0
"Benin",2020-02-15,0,"confirmed",0,0
"Benin",2020-02-16,0,"confirmed",0,0
"Benin",2020-02-17,0,"confirmed",0,0
"Benin",2020-02-18,0,"confirmed",0,0
"Benin",2020-02-19,0,"confirmed",0,0
"Benin",2020-02-20,0,"confirmed",0,0
"Benin",2020-02-21,0,"confirmed",0,0
"Benin",2020-02-22,0,"confirmed",0,0
"Benin",2020-02-23,0,"confirmed",0,0
"Benin",2020-02-24,0,"confirmed",0,0
"Benin",2020-02-25,0,"confirmed",0,0
"Benin",2020-02-26,0,"confirmed",0,0
"Benin",2020-02-27,0,"confirmed",0,0
"Benin",2020-02-28,0,"confirmed",0,0
"Benin",2020-02-29,0,"confirmed",0,0
"Benin",2020-03-01,0,"confirmed",0,0
"Benin",2020-03-02,0,"confirmed",0,0
"Benin",2020-03-03,0,"confirmed",0,0
"Benin",2020-03-04,0,"confirmed",0,0
"Benin",2020-03-05,0,"confirmed",0,0
"Benin",2020-03-06,0,"confirmed",0,0
"Benin",2020-03-07,0,"confirmed",0,0
"Benin",2020-03-08,0,"confirmed",0,0
"Benin",2020-03-09,0,"confirmed",0,0
"Benin",2020-03-10,0,"confirmed",0,0
"Benin",2020-03-11,0,"confirmed",0,0
"Benin",2020-03-12,0,"confirmed",0,0
"Benin",2020-03-13,0,"confirmed",0,0
"Benin",2020-03-14,0,"confirmed",0,0
"Benin",2020-03-15,0,"confirmed",0,0
"Benin",2020-03-16,1,"confirmed",1,0.0824864722185562
"Benin",2020-03-17,0,"confirmed",1,0.0824864722185562
"Benin",2020-03-18,1,"confirmed",2,0.164972944437112
"Benin",2020-03-19,0,"confirmed",2,0.164972944437112
"Benin",2020-03-20,0,"confirmed",2,0.164972944437112
"Benin",2020-03-21,0,"confirmed",2,0.164972944437112
"Benin",2020-03-22,0,"confirmed",2,0.164972944437112
"Benin",2020-03-23,3,"confirmed",5,0.412432361092781
"Benin",2020-03-24,1,"confirmed",6,0.494918833311337
"Benin",2020-03-25,0,"confirmed",6,0.494918833311337
"Benin",2020-03-26,0,"confirmed",6,0.494918833311337
"Benin",2020-03-27,0,"confirmed",6,0.494918833311337
"Benin",2020-03-28,0,"confirmed",6,0.494918833311337
"Benin",2020-03-29,0,"confirmed",6,0.494918833311337
"Benin",2020-03-30,0,"confirmed",6,0.494918833311337
"Benin",2020-03-31,3,"confirmed",9,0.742378249967005
"Benin",2020-04-01,4,"confirmed",13,1.07232413884123
"Benin",2020-04-02,0,"confirmed",13,1.07232413884123
"Benin",2020-04-03,3,"confirmed",16,1.3197835554969
"Benin",2020-04-04,0,"confirmed",16,1.3197835554969
"Benin",2020-04-05,6,"confirmed",22,1.81470238880824
"Benin",2020-04-06,4,"confirmed",26,2.14464827768246
"Benin",2020-04-07,0,"confirmed",26,2.14464827768246
"Benin",2020-04-08,0,"confirmed",26,2.14464827768246
"Benin",2020-04-09,0,"confirmed",26,2.14464827768246
"Benin",2020-04-10,9,"confirmed",35,2.88702652764947
"Benin",2020-04-11,0,"confirmed",35,2.88702652764947
"Benin",2020-04-12,0,"confirmed",35,2.88702652764947
"Benin",2020-04-13,0,"confirmed",35,2.88702652764947
"Benin",2020-04-14,0,"confirmed",35,2.88702652764947
"Benin",2020-04-15,0,"confirmed",35,2.88702652764947
"Benin",2020-04-16,0,"confirmed",35,2.88702652764947
"Benin",2020-04-17,0,"confirmed",35,2.88702652764947
"Benin",2020-04-18,0,"confirmed",35,2.88702652764947
"Benin",2020-04-19,0,"confirmed",35,2.88702652764947
"Benin",2020-04-20,19,"confirmed",54,4.45426949980203
"Benin",2020-04-21,0,"confirmed",54,4.45426949980203
"Benin",2020-04-22,0,"confirmed",54,4.45426949980203
"Benin",2020-04-23,0,"confirmed",54,4.45426949980203
"Benin",2020-04-24,0,"confirmed",54,4.45426949980203
"Benin",2020-04-25,0,"confirmed",54,4.45426949980203
"Benin",2020-04-26,10,"confirmed",64,5.27913422198759
"Benin",2020-04-27,0,"confirmed",64,5.27913422198759
"Benin",2020-04-28,0,"confirmed",64,5.27913422198759
"Benin",2020-04-29,0,"confirmed",64,5.27913422198759
"Benin",2020-04-30,0,"confirmed",64,5.27913422198759
"Benin",2020-05-01,26,"confirmed",90,7.42378249967005
"Benin",2020-05-02,0,"confirmed",90,7.42378249967005
"Benin",2020-05-03,0,"confirmed",90,7.42378249967005
"Benin",2020-05-04,6,"confirmed",96,7.91870133298139
"Benin",2020-05-05,0,"confirmed",96,7.91870133298139
"Benin",2020-05-06,0,"confirmed",96,7.91870133298139
"Benin",2020-05-07,44,"confirmed",140,11.5481061105979
"Benin",2020-05-08,102,"confirmed",242,19.9617262768906
"Benin",2020-05-09,42,"confirmed",284,23.4261581100699
"Benin",2020-05-10,35,"confirmed",319,26.3131846377194
"Benin",2020-05-11,0,"confirmed",319,26.3131846377194
"Benin",2020-05-12,8,"confirmed",327,26.9730764154679
"Benin",2020-05-13,0,"confirmed",327,26.9730764154679
"Benin",2020-05-14,12,"confirmed",339,27.9629140820905
"Benin",2020-05-15,0,"confirmed",339,27.9629140820905
"Benin",2020-05-16,0,"confirmed",339,27.9629140820905
"Benin",2020-05-17,0,"confirmed",339,27.9629140820905
"Benin",2020-05-18,0,"confirmed",339,27.9629140820905
"Benin",2020-05-19,-209,"confirmed",130,10.7232413884123
"Benin",2020-05-20,0,"confirmed",130,10.7232413884123
"Benin",2020-05-21,5,"confirmed",135,11.1356737495051
"Benin",2020-05-22,0,"confirmed",135,11.1356737495051
"Benin",2020-05-23,0,"confirmed",135,11.1356737495051
"Benin",2020-05-24,56,"confirmed",191,15.7549161937442
"Benin",2020-05-25,0,"confirmed",191,15.7549161937442
"Benin",2020-05-26,17,"confirmed",208,17.1571862214597
"Benin",2020-05-27,2,"confirmed",210,17.3221591658968
"Benin",2020-05-28,0,"confirmed",210,17.3221591658968
"Benin",2020-05-29,14,"confirmed",224,18.4769697769566
"Benin",2020-05-30,0,"confirmed",224,18.4769697769566
"Benin",2020-05-31,8,"confirmed",232,19.136861554705
"Benin",2020-06-01,11,"confirmed",243,20.0442127491091
"Benin",2020-06-02,1,"confirmed",244,20.1266992213277
"Benin",2020-06-03,0,"confirmed",244,20.1266992213277
"Benin",2020-06-04,17,"confirmed",261,21.5289692490432
"Benin",2020-06-05,0,"confirmed",261,21.5289692490432
"Benin",2020-06-06,0,"confirmed",261,21.5289692490432
"Benin",2020-06-07,0,"confirmed",261,21.5289692490432
"Benin",2020-06-08,27,"confirmed",288,23.7561039989442
"Benin",2020-06-09,17,"confirmed",305,25.1583740266596
"Benin",2020-06-10,0,"confirmed",305,25.1583740266596
"Benin",2020-06-11,0,"confirmed",305,25.1583740266596
"Benin",2020-06-12,83,"confirmed",388,32.0047512207998
"Benin",2020-06-13,24,"confirmed",412,33.9844265540451
"Benin",2020-06-14,30,"confirmed",442,36.4590207206018
"Benin",2020-06-15,41,"confirmed",483,39.8409660815626
"Benin",2020-06-16,49,"confirmed",532,43.8828032202719
"Benin",2020-06-17,40,"confirmed",572,47.1822621090141
"Burkina Faso",2020-01-22,0,"confirmed",0,0
"Burkina Faso",2020-01-23,0,"confirmed",0,0
"Burkina Faso",2020-01-24,0,"confirmed",0,0
"Burkina Faso",2020-01-25,0,"confirmed",0,0
"Burkina Faso",2020-01-26,0,"confirmed",0,0
"Burkina Faso",2020-01-27,0,"confirmed",0,0
"Burkina Faso",2020-01-28,0,"confirmed",0,0
"Burkina Faso",2020-01-29,0,"confirmed",0,0
"Burkina Faso",2020-01-30,0,"confirmed",0,0
"Burkina Faso",2020-01-31,0,"confirmed",0,0
"Burkina Faso",2020-02-01,0,"confirmed",0,0
"Burkina Faso",2020-02-02,0,"confirmed",0,0
"Burkina Faso",2020-02-03,0,"confirmed",0,0
"Burkina Faso",2020-02-04,0,"confirmed",0,0
"Burkina Faso",2020-02-05,0,"confirmed",0,0
"Burkina Faso",2020-02-06,0,"confirmed",0,0
"Burkina Faso",2020-02-07,0,"confirmed",0,0
"Burkina Faso",2020-02-08,0,"confirmed",0,0
"Burkina Faso",2020-02-09,0,"confirmed",0,0
"Burkina Faso",2020-02-10,0,"confirmed",0,0
"Burkina Faso",2020-02-11,0,"confirmed",0,0
"Burkina Faso",2020-02-12,0,"confirmed",0,0
"Burkina Faso",2020-02-13,0,"confirmed",0,0
"Burkina Faso",2020-02-14,0,"confirmed",0,0
"Burkina Faso",2020-02-15,0,"confirmed",0,0
"Burkina Faso",2020-02-16,0,"confirmed",0,0
"Burkina Faso",2020-02-17,0,"confirmed",0,0
"Burkina Faso",2020-02-18,0,"confirmed",0,0
"Burkina Faso",2020-02-19,0,"confirmed",0,0
"Burkina Faso",2020-02-20,0,"confirmed",0,0
"Burkina Faso",2020-02-21,0,"confirmed",0,0
"Burkina Faso",2020-02-22,0,"confirmed",0,0
"Burkina Faso",2020-02-23,0,"confirmed",0,0
"Burkina Faso",2020-02-24,0,"confirmed",0,0
"Burkina Faso",2020-02-25,0,"confirmed",0,0
"Burkina Faso",2020-02-26,0,"confirmed",0,0
"Burkina Faso",2020-02-27,0,"confirmed",0,0
"Burkina Faso",2020-02-28,0,"confirmed",0,0
"Burkina Faso",2020-02-29,0,"confirmed",0,0
"Burkina Faso",2020-03-01,0,"confirmed",0,0
"Burkina Faso",2020-03-02,0,"confirmed",0,0
"Burkina Faso",2020-03-03,0,"confirmed",0,0
"Burkina Faso",2020-03-04,0,"confirmed",0,0
"Burkina Faso",2020-03-05,0,"confirmed",0,0
"Burkina Faso",2020-03-06,0,"confirmed",0,0
"Burkina Faso",2020-03-07,0,"confirmed",0,0
"Burkina Faso",2020-03-08,0,"confirmed",0,0
"Burkina Faso",2020-03-09,0,"confirmed",0,0
"Burkina Faso",2020-03-10,1,"confirmed",1,0.0478393981650625
"Burkina Faso",2020-03-11,1,"confirmed",2,0.095678796330125
"Burkina Faso",2020-03-12,0,"confirmed",2,0.095678796330125
"Burkina Faso",2020-03-13,0,"confirmed",2,0.095678796330125
"Burkina Faso",2020-03-14,0,"confirmed",2,0.095678796330125
"Burkina Faso",2020-03-15,1,"confirmed",3,0.143518194495187
"Burkina Faso",2020-03-16,12,"confirmed",15,0.717590972475937
"Burkina Faso",2020-03-17,0,"confirmed",15,0.717590972475937
"Burkina Faso",2020-03-18,5,"confirmed",20,0.956787963301249
"Burkina Faso",2020-03-19,13,"confirmed",33,1.57870013944706
"Burkina Faso",2020-03-20,7,"confirmed",40,1.9135759266025
"Burkina Faso",2020-03-21,24,"confirmed",64,3.061721482564
"Burkina Faso",2020-03-22,11,"confirmed",75,3.58795486237969
"Burkina Faso",2020-03-23,24,"confirmed",99,4.73610041834119
"Burkina Faso",2020-03-24,15,"confirmed",114,5.45369139081712
"Burkina Faso",2020-03-25,32,"confirmed",146,6.98455213209912
"Burkina Faso",2020-03-26,6,"confirmed",152,7.2715885210895
"Burkina Faso",2020-03-27,28,"confirmed",180,8.61109166971125
"Burkina Faso",2020-03-28,27,"confirmed",207,9.90275542016793
"Burkina Faso",2020-03-29,15,"confirmed",222,10.6203463926439
"Burkina Faso",2020-03-30,24,"confirmed",246,11.7684919486054
"Burkina Faso",2020-03-31,15,"confirmed",261,12.4860829210813
"Burkina Faso",2020-04-01,21,"confirmed",282,13.4907102825476
"Burkina Faso",2020-04-02,6,"confirmed",288,13.777746671538
"Burkina Faso",2020-04-03,14,"confirmed",302,14.4474982458489
"Burkina Faso",2020-04-04,16,"confirmed",318,15.2129286164899
"Burkina Faso",2020-04-05,27,"confirmed",345,16.5045923669466
"Burkina Faso",2020-04-06,19,"confirmed",364,17.4135409320827
"Burkina Faso",2020-04-07,20,"confirmed",384,18.370328895384
"Burkina Faso",2020-04-08,30,"confirmed",414,19.8055108403359
"Burkina Faso",2020-04-09,29,"confirmed",443,21.1928533871227
"Burkina Faso",2020-04-10,0,"confirmed",443,21.1928533871227
"Burkina Faso",2020-04-11,41,"confirmed",484,23.1542687118902
"Burkina Faso",2020-04-12,13,"confirmed",497,23.7761808880361
"Burkina Faso",2020-04-13,0,"confirmed",497,23.7761808880361
"Burkina Faso",2020-04-14,31,"confirmed",528,25.259202231153
"Burkina Faso",2020-04-15,14,"confirmed",542,25.9289538054639
"Burkina Faso",2020-04-16,4,"confirmed",546,26.1203113981241
"Burkina Faso",2020-04-17,11,"confirmed",557,26.6465447779398
"Burkina Faso",2020-04-18,8,"confirmed",565,27.0292599632603
"Burkina Faso",2020-04-19,11,"confirmed",576,27.555493343076
"Burkina Faso",2020-04-20,5,"confirmed",581,27.7946903339013
"Burkina Faso",2020-04-21,19,"confirmed",600,28.7036388990375
"Burkina Faso",2020-04-22,9,"confirmed",609,29.134193482523
"Burkina Faso",2020-04-23,7,"confirmed",616,29.4690692696785
"Burkina Faso",2020-04-24,13,"confirmed",629,30.0909814458243
"Burkina Faso",2020-04-25,0,"confirmed",629,30.0909814458243
"Burkina Faso",2020-04-26,3,"confirmed",632,30.2344996403195
"Burkina Faso",2020-04-27,3,"confirmed",635,30.3780178348147
"Burkina Faso",2020-04-28,3,"confirmed",638,30.5215360293099
"Burkina Faso",2020-04-29,3,"confirmed",641,30.665054223805
"Burkina Faso",2020-04-30,4,"confirmed",645,30.8564118164653
"Burkina Faso",2020-05-01,4,"confirmed",649,31.0477694091255
"Burkina Faso",2020-05-02,3,"confirmed",652,31.1912876036207
"Burkina Faso",2020-05-03,10,"confirmed",662,31.6696815852714
"Burkina Faso",2020-05-04,10,"confirmed",672,32.148075566922
"Burkina Faso",2020-05-05,16,"confirmed",688,32.913505937563
"Burkina Faso",2020-05-06,41,"confirmed",729,34.8749212623305
"Burkina Faso",2020-05-07,7,"confirmed",736,35.209797049486
"Burkina Faso",2020-05-08,8,"confirmed",744,35.5925122348065
"Burkina Faso",2020-05-09,4,"confirmed",748,35.7838698274667
"Burkina Faso",2020-05-10,3,"confirmed",751,35.9273880219619
"Burkina Faso",2020-05-11,9,"confirmed",760,36.3579426054475
"Burkina Faso",2020-05-12,6,"confirmed",766,36.6449789944379
"Burkina Faso",2020-05-13,7,"confirmed",773,36.9798547815933
"Burkina Faso",2020-05-14,0,"confirmed",773,36.9798547815933
"Burkina Faso",2020-05-15,7,"confirmed",780,37.3147305687487
"Burkina Faso",2020-05-16,2,"confirmed",782,37.4104093650789
"Burkina Faso",2020-05-17,14,"confirmed",796,38.0801609393897
"Burkina Faso",2020-05-18,0,"confirmed",796,38.0801609393897
"Burkina Faso",2020-05-19,0,"confirmed",796,38.0801609393897
"Burkina Faso",2020-05-20,13,"confirmed",809,38.7020731155355
"Burkina Faso",2020-05-21,3,"confirmed",812,38.8455913100307
"Burkina Faso",2020-05-22,2,"confirmed",814,38.9412701063609
"Burkina Faso",2020-05-23,0,"confirmed",814,38.9412701063609
"Burkina Faso",2020-05-24,0,"confirmed",814,38.9412701063609
"Burkina Faso",2020-05-25,18,"confirmed",832,39.802379273332
"Burkina Faso",2020-05-26,0,"confirmed",832,39.802379273332
"Burkina Faso",2020-05-27,13,"confirmed",845,40.4242914494778
"Burkina Faso",2020-05-28,2,"confirmed",847,40.5199702458079
"Burkina Faso",2020-05-29,0,"confirmed",847,40.5199702458079
"Burkina Faso",2020-05-30,0,"confirmed",847,40.5199702458079
"Burkina Faso",2020-05-31,0,"confirmed",847,40.5199702458079
"Burkina Faso",2020-06-01,0,"confirmed",847,40.5199702458079
"Burkina Faso",2020-06-02,34,"confirmed",881,42.14650978342
"Burkina Faso",2020-06-03,3,"confirmed",884,42.2900279779152
"Burkina Faso",2020-06-04,1,"confirmed",885,42.3378673760803
"Burkina Faso",2020-06-05,3,"confirmed",888,42.4813855705755
"Burkina Faso",2020-06-06,0,"confirmed",888,42.4813855705755
"Burkina Faso",2020-06-07,1,"confirmed",889,42.5292249687405
"Burkina Faso",2020-06-08,1,"confirmed",890,42.5770643669056
"Burkina Faso",2020-06-09,1,"confirmed",891,42.6249037650707
"Burkina Faso",2020-06-10,0,"confirmed",891,42.6249037650707
"Burkina Faso",2020-06-11,1,"confirmed",892,42.6727431632357
