"country","date","type","total_cases"
"Nigeria",2020-01-22,"confirmed",0
"Nigeria",2020-01-23,"confirmed",0
"Nigeria",2020-01-24,"confirmed",0
"Nigeria",2020-01-25,"confirmed",0
"Nigeria",2020-01-26,"confirmed",0
"Nigeria",2020-01-27,"confirmed",0
"Nigeria",2020-01-28,"confirmed",0
"Nigeria",2020-01-29,"confirmed",0
"Nigeria",2020-01-30,"confirmed",0
"Nigeria",2020-01-31,"confirmed",0
"Nigeria",2020-02-01,"confirmed",0
"Nigeria",2020-02-02,"confirmed",0
"Nigeria",2020-02-03,"confirmed",0
"Nigeria",2020-02-04,"confirmed",0
"Nigeria",2020-02-05,"confirmed",0
"Nigeria",2020-02-06,"confirmed",0
"Nigeria",2020-02-07,"confirmed",0
"Nigeria",2020-02-08,"confirmed",0
"Nigeria",2020-02-09,"confirmed",0
"Nigeria",2020-02-10,"confirmed",0
"Nigeria",2020-02-11,"confirmed",0
"Nigeria",2020-02-12,"confirmed",0
"Nigeria",2020-02-13,"confirmed",0
"Nigeria",2020-02-14,"confirmed",0
"Nigeria",2020-02-15,"confirmed",0
"Nigeria",2020-02-16,"confirmed",0
"Nigeria",2020-02-17,"confirmed",0
"Nigeria",2020-02-18,"confirmed",0
"Nigeria",2020-02-19,"confirmed",0
"Nigeria",2020-02-20,"confirmed",0
"Nigeria",2020-02-21,"confirmed",0
"Nigeria",2020-02-22,"confirmed",0
"Nigeria",2020-02-23,"confirmed",0
"Nigeria",2020-02-24,"confirmed",0
"Nigeria",2020-02-25,"confirmed",0
"Nigeria",2020-02-26,"confirmed",0
"Nigeria",2020-02-27,"confirmed",0
"Nigeria",2020-02-28,"confirmed",1
"Nigeria",2020-02-29,"confirmed",1
"Nigeria",2020-03-01,"confirmed",1
"Nigeria",2020-03-02,"confirmed",1
"Nigeria",2020-03-03,"confirmed",1
"Nigeria",2020-03-04,"confirmed",1
"Nigeria",2020-03-05,"confirmed",1
"Nigeria",2020-03-06,"confirmed",1
"Nigeria",2020-03-07,"confirmed",1
"Nigeria",2020-03-08,"confirmed",1
"Nigeria",2020-03-09,"confirmed",2
"Nigeria",2020-03-10,"confirmed",2
"Nigeria",2020-03-11,"confirmed",2
"Nigeria",2020-03-12,"confirmed",2
"Nigeria",2020-03-13,"confirmed",2
"Nigeria",2020-03-14,"confirmed",2
"Nigeria",2020-03-15,"confirmed",2
"Nigeria",2020-03-16,"confirmed",2
"Nigeria",2020-03-17,"confirmed",3
"Nigeria",2020-03-18,"confirmed",8
"Nigeria",2020-03-19,"confirmed",8
"Nigeria",2020-03-20,"confirmed",12
"Nigeria",2020-03-21,"confirmed",22
"Nigeria",2020-03-22,"confirmed",30
"Nigeria",2020-03-23,"confirmed",40
"Nigeria",2020-03-24,"confirmed",44
"Nigeria",2020-03-25,"confirmed",51
"Nigeria",2020-03-26,"confirmed",65
"Nigeria",2020-03-27,"confirmed",70
"Nigeria",2020-03-28,"confirmed",89
"Nigeria",2020-03-29,"confirmed",111
"Nigeria",2020-03-30,"confirmed",131
"Nigeria",2020-03-31,"confirmed",135
"Nigeria",2020-04-01,"confirmed",174
"Nigeria",2020-04-02,"confirmed",184
"Nigeria",2020-04-03,"confirmed",210
"Nigeria",2020-04-04,"confirmed",214
"Nigeria",2020-04-05,"confirmed",232
"Nigeria",2020-04-06,"confirmed",238
"Nigeria",2020-04-07,"confirmed",254
"Nigeria",2020-04-08,"confirmed",276
"Nigeria",2020-04-09,"confirmed",288
"Nigeria",2020-04-10,"confirmed",305
"Nigeria",2020-04-11,"confirmed",318
"Nigeria",2020-04-12,"confirmed",323
"Nigeria",2020-04-13,"confirmed",343
"Nigeria",2020-04-14,"confirmed",373
"Nigeria",2020-04-15,"confirmed",407
"Nigeria",2020-04-16,"confirmed",442
"Nigeria",2020-04-17,"confirmed",493
"Nigeria",2020-04-18,"confirmed",542
"Nigeria",2020-04-19,"confirmed",627
"Nigeria",2020-04-20,"confirmed",665
"Nigeria",2020-04-21,"confirmed",665
"Nigeria",2020-04-22,"confirmed",873
"Nigeria",2020-04-23,"confirmed",981
"Nigeria",2020-04-24,"confirmed",1095
"Nigeria",2020-04-25,"confirmed",1182
"Nigeria",2020-04-26,"confirmed",1273
"Nigeria",2020-04-27,"confirmed",1337
"Nigeria",2020-04-28,"confirmed",1532
"Nigeria",2020-04-29,"confirmed",1728
"Nigeria",2020-04-30,"confirmed",1932
"Nigeria",2020-01-22,"death",0
"Nigeria",2020-01-23,"death",0
"Nigeria",2020-01-24,"death",0
"Nigeria",2020-01-25,"death",0
"Nigeria",2020-01-26,"death",0
"Nigeria",2020-01-27,"death",0
"Nigeria",2020-01-28,"death",0
"Nigeria",2020-01-29,"death",0
"Nigeria",2020-01-30,"death",0
"Nigeria",2020-01-31,"death",0
"Nigeria",2020-02-01,"death",0
"Nigeria",2020-02-02,"death",0
"Nigeria",2020-02-03,"death",0
"Nigeria",2020-02-04,"death",0
"Nigeria",2020-02-05,"death",0
"Nigeria",2020-02-06,"death",0
"Nigeria",2020-02-07,"death",0
"Nigeria",2020-02-08,"death",0
"Nigeria",2020-02-09,"death",0
"Nigeria",2020-02-10,"death",0
"Nigeria",2020-02-11,"death",0
"Nigeria",2020-02-12,"death",0
"Nigeria",2020-02-13,"death",0
"Nigeria",2020-02-14,"death",0
"Nigeria",2020-02-15,"death",0
"Nigeria",2020-02-16,"death",0
"Nigeria",2020-02-17,"death",0
"Nigeria",2020-02-18,"death",0
"Nigeria",2020-02-19,"death",0
"Nigeria",2020-02-20,"death",0
"Nigeria",2020-02-21,"death",0
"Nigeria",2020-02-22,"death",0
"Nigeria",2020-02-23,"death",0
"Nigeria",2020-02-24,"death",0
"Nigeria",2020-02-25,"death",0
"Nigeria",2020-02-26,"death",0
"Nigeria",2020-02-27,"death",0
"Nigeria",2020-02-28,"death",0
"Nigeria",2020-02-29,"death",0
"Nigeria",2020-03-01,"death",0
"Nigeria",2020-03-02,"death",0
"Nigeria",2020-03-03,"death",0
"Nigeria",2020-03-04,"death",0
"Nigeria",2020-03-05,"death",0
"Nigeria",2020-03-06,"death",0
"Nigeria",2020-03-07,"death",0
"Nigeria",2020-03-08,"death",0
"Nigeria",2020-03-09,"death",0
"Nigeria",2020-03-10,"death",0
"Nigeria",2020-03-11,"death",0
"Nigeria",2020-03-12,"death",0
"Nigeria",2020-03-13,"death",0
"Nigeria",2020-03-14,"death",0
"Nigeria",2020-03-15,"death",0
"Nigeria",2020-03-16,"death",0
"Nigeria",2020-03-17,"death",0
"Nigeria",2020-03-18,"death",0
"Nigeria",2020-03-19,"death",0
"Nigeria",2020-03-20,"death",0
"Nigeria",2020-03-21,"death",0
"Nigeria",2020-03-22,"death",0
"Nigeria",2020-03-23,"death",1
"Nigeria",2020-03-24,"death",1
"Nigeria",2020-03-25,"death",1
"Nigeria",2020-03-26,"death",1
"Nigeria",2020-03-27,"death",1
"Nigeria",2020-03-28,"death",1
"Nigeria",2020-03-29,"death",1
"Nigeria",2020-03-30,"death",2
"Nigeria",2020-03-31,"death",2
"Nigeria",2020-04-01,"death",2
"Nigeria",2020-04-02,"death",2
"Nigeria",2020-04-03,"death",4
"Nigeria",2020-04-04,"death",4
"Nigeria",2020-04-05,"death",5
"Nigeria",2020-04-06,"death",5
"Nigeria",2020-04-07,"death",6
"Nigeria",2020-04-08,"death",6
"Nigeria",2020-04-09,"death",7
"Nigeria",2020-04-10,"death",7
"Nigeria",2020-04-11,"death",10
"Nigeria",2020-04-12,"death",10
"Nigeria",2020-04-13,"death",10
"Nigeria",2020-04-14,"death",11
"Nigeria",2020-04-15,"death",12
"Nigeria",2020-04-16,"death",13
"Nigeria",2020-04-17,"death",17
"Nigeria",2020-04-18,"death",19
"Nigeria",2020-04-19,"death",21
"Nigeria",2020-04-20,"death",22
"Nigeria",2020-04-21,"death",22
"Nigeria",2020-04-22,"death",28
"Nigeria",2020-04-23,"death",31
"Nigeria",2020-04-24,"death",32
"Nigeria",2020-04-25,"death",35
"Nigeria",2020-04-26,"death",40
"Nigeria",2020-04-27,"death",40
"Nigeria",2020-04-28,"death",44
